iter	MAE
0	0.6565485063
1	0.643788547
2	0.6333457148
3	0.6238283185
4	0.6193636413
5	0.6135679173
6	0.6066146482
7	0.6014507865
8	0.5964109564
9	0.5917114002
10	0.5901167626
11	0.5872580871
12	0.5837702238
13	0.5804287848
14	0.57899951
15	0.5754529165
16	0.5729361024
17	0.5710762122
18	0.5688495496
19	0.5678378831
20	0.5666536656
21	0.5657227137
22	0.5646006737
23	0.5623776581
24	0.5595905749
25	0.5574003253
26	0.5555882938
27	0.5551276483
28	0.5533267621
29	0.551996038
30	0.5513516597
31	0.5502241456
32	0.5485529975
33	0.5474035536
34	0.5468056113
35	0.5459689252
36	0.5456174058
37	0.544206645
38	0.5432493965
39	0.5426241437
40	0.5424514708
41	0.5423939391
42	0.5423247725
43	0.5422620681
44	0.541732444
45	0.5415947049
46	0.5409176132
47	0.5406435906
48	0.5406275562
49	0.5405151692
50	0.5404544474
51	0.5394076529
52	0.5393697227
53	0.539315419
54	0.5392664463
55	0.5392298732
56	0.5387357464
57	0.5380592487
58	0.5374425551
59	0.5368949181
60	0.5364017514
61	0.5359511044
62	0.5355516394
63	0.5351922284
64	0.5348686617
65	0.5345800355
66	0.5343170526
67	0.534080368
68	0.5329858083
69	0.5327786444
70	0.531775041
71	0.5316187658
72	0.5314781233
73	0.5313515404
74	0.5312376158
75	0.5311350875
76	0.5302922189
77	0.5295342201
78	0.5286796487
79	0.5273038477
80	0.5230154467
81	0.521191399
82	0.5172512174
83	0.5151161045
84	0.5146491706
85	0.5124919302
86	0.5112840979
87	0.5112176017
88	0.5110564435
89	0.5109080944
90	0.5108119912
91	0.5081892415
92	0.5048035196
93	0.502090336
94	0.5002374171
95	0.4983796894
96	0.4967304179
97	0.4959704736
98	0.4948098248
99	0.4941949231
100	0.493866398
101	0.4937802766
102	0.4936449939
103	0.4909484551
104	0.4893779192
105	0.487647285
106	0.4875261767
107	0.4862779325
108	0.4861858776
109	0.4824639498
110	0.4813350057
111	0.4807449094
112	0.4800570035
113	0.4785388369
114	0.4770886923
115	0.4769465525
116	0.4746147639
117	0.4725235543
118	0.4702284804
119	0.4686654738
120	0.4672165968
121	0.4660883314
122	0.4644009291
123	0.4632626155
124	0.4624809002
125	0.4617197361
126	0.4610367104
127	0.460227521
128	0.4598790213
129	0.4586508737
130	0.4580641097
131	0.4575207891
132	0.457017334
133	0.4564069697
134	0.4558246852
135	0.4553864957
136	0.4550672361
137	0.4548021469
138	0.4542775367
139	0.454139449
140	0.4538310484
141	0.4536895092
142	0.453605978
143	0.4527023402
144	0.4525032131
145	0.4524033098
146	0.4522649186
147	0.452105579
148	0.4519640438
149	0.451826038
