iter	Passed	Remaining
0	814	121305
1	1539	113934
2	2215	108577
3	2874	104921
4	3560	103266
5	4275	102605
6	4921	100536
7	5582	99089
8	6218	97424
9	6867	96151
10	7570	95667
11	8217	94502
12	8865	93426
13	9473	92030
14	10082	90738
15	10691	89542
16	11305	88446
17	11938	87548
18	12547	86509
19	13143	85434
20	13744	84432
21	14337	83418
22	14929	82435
23	15542	81599
24	16162	80810
25	16834	80289
26	17483	79645
27	18073	78749
28	18704	78044
29	19298	77193
30	19881	76319
31	20472	75491
32	21040	74597
33	21629	73795
34	22222	73015
35	22822	72271
36	23442	71595
37	24052	70891
38	24646	70149
39	25236	69400
40	25813	68626
41	26398	67882
42	26986	67151
43	27583	66450
44	28156	65697
45	28746	64993
46	29327	64271
47	29923	63588
48	30514	62896
49	31083	62166
50	31649	61436
51	32229	60740
52	32793	60018
53	33350	59290
54	33915	58580
55	34465	57853
56	35007	57117
57	35521	56345
58	36034	55578
59	36556	54834
60	37074	54092
61	37589	53352
62	38099	52614
63	38625	51902
64	39144	51189
65	39662	50479
66	40184	49781
67	40714	49097
68	41251	48426
69	41775	47743
70	42296	47061
71	42809	46377
72	43326	45700
73	43840	45025
74	44348	44348
75	44860	43679
76	45374	43017
77	45906	42375
78	46426	41725
79	46946	41078
80	47426	40400
81	47901	39723
82	48389	39061
83	48881	38406
84	49350	37738
85	49782	37047
86	50218	36365
87	50657	35690
88	51103	35026
89	51577	34384
90	52023	33729
91	52489	33091
92	52942	32448
93	53386	31804
94	53834	31167
95	54293	30540
96	54736	29907
97	55184	29281
98	55626	28656
99	56074	28037
100	56536	27428
101	56975	26812
102	57419	26201
103	57849	25587
104	58302	24986
105	58747	24385
106	59188	23785
107	59650	23197
108	60091	22603
109	60542	22015
110	60981	21425
111	61404	20833
112	61843	20249
113	62272	19665
114	62716	19087
115	63131	18503
116	63575	17931
117	64016	17360
118	64454	16790
119	64908	16227
120	65346	15661
121	65784	15098
122	66230	14538
123	66678	13981
124	67115	13423
125	67565	12869
126	68014	12317
127	68456	11766
128	68897	11215
129	69338	10667
130	69779	10120
131	70214	9574
132	70660	9031
133	71101	8489
134	71539	7948
135	71974	7409
136	72406	6870
137	72846	6334
138	73286	5799
139	73721	5265
140	74154	4733
141	74607	4203
142	75048	3673
143	75496	3145
144	75929	2618
145	76361	2092
146	76796	1567
147	77252	1043
148	77702	521
149	78139	0
